biliarysystem	#A73030
immature pericytes	#D2B993
M/X cells	#DED8CE
RGS5 pericytes	#CC4285
younger goblet cells	#C3EACA
portal hepatocytes	#E42859
central hepatocytes	#86564A
enterochromaffin cells	#55F97A
colonocyte precursors	#4AA08F
D cells	#9006E9
N cells	#1354E2
L cells	#4C51A5
older goblet cells	#D2BB71
BEST2 goblet cells	#D257D7
K cells	#D93329
angiogenic pericytes	#24BB35
SMC 1 (PLPP2)	#C9A580
PRG4 pericytes	#6E9979
contractile pericytes	#64652F
I cells	#946262
Enterocyte	#ED496F
Enteroendocrine	#F7DC6F
Enterocyte_precursor	#1f77b4
Goblet	#8e3101
M_cell	#f82745
Stem_cell	#225805
Tuft	#9e018a
colon	#465982
duodenal	#90D8AF
ileum	#F8871A
IPS	#4DBBD5
tIPS	#00A087
FSC	#8491B4
FSC early	#003C67
FSC late	#3C5488
ASC	#E64B35
PSC	#4DBBD5
tPSC	#00A087
spleen	#7AA6DC
thymus	#EFC000
Vascular endothelial cells	#3E35B7
Stromal cells	#A2C8EB
Intestinal epithelial cells	#CC7DA5
Myeloid cells	#AE4DDD
Lymphoid cells	#8A479A
ENS neurons	#388CAF
ENS glia	#C93476
Smooth muscle cells	#2B7BC5
Chromaffin cells	#A466A4
Lymphatic endothelial cells	#4E564B
Mesothelial cells	#9A384B
Erythroblasts	#B0803A
Hepatoblasts	#A8575E
Stellate cells	#6C8F44
Hematopoietic stem cells	#73CFC0
Megakaryocytes	#89DB96
Bronchiolar and alveolar epithelial cells	#C02DDC
Ciliated epithelial cells	#405A93
Neuroendocrine cells	#8F4646
Squamous epithelial cells	#486EF5
Visceral neurons	#A2E2AE
CSH1_CSH2 positive cells	#61E190
Acinar cells	#BAA8E4
Ductal cells	#FF7300
Islet endocrine cells	#FD4C7A
CCL19_CCL21 positive cells	#B423DF
STC2_TLX1 positive cells	#52B720
AFP_ALB positive cells	#8F6DAD
Goblet cells	#9D9B9B
Parietal and chief cells	#FFA900
MUC13_DMBT1 positive cells	#886573
PDE1C_ACSM3 positive cells	#C05E3F
Thymocytes	#3C5939
Antigen presenting cells	#844F4A
Thymic epithelial cells	#867164

plate_level_all = pd.read_csv(f"../db/gut_scpoli_color.txt",
                sep='\t', header=None, index_col=0)
plate_level_all = plate_level_all.to_dict()[1]

#244颜色####================================================================================
cell_type_colors = {
    "biliarysystem": "#A73030",
    "intestine": "#91D1C2",
    "liver": "#8F7700",
    "lung": "#F39B7F",
    "pancreas": "#DC0000",
    "prostate": "#4A6990",
    "salivarygland": "#3B3B3B",
    "stomach": "#B09C85",
    "thyroid": "#7E6148",
    "epithelial": "#0073C2",
    "mesenchymal": "#A3E3AF",
    "stromal": "#A3E3AF",
    "neural": "#111111",
    "endothelial": "#CD534C",
    "immune": "#C251A1",
    "stem cells": "#777777",
    "enterocytes": "#225805",
    "stromal 2 (NPY)": "#E4B974",
    "colonocytes": "#FFB300",
    "goblet cells": "#8E3101",
    "cycling stromal cells": "#47EDD1",
    "Interstitial cells of Cajal (ICC)": "#F47A92",
    "smooth muscle cells (SMC)": "#2D62A3",
    "mesoderm 1 (HAND1)": "#9106EB",
    "pericytes": "#573794",
    "Microfold cells": "#F82745",
    "mesoderm 2 (ZEB2)": "#6435E0",
    "schwann cell": "#027FFE",
    "basal cells": "#E68A54",
    "ciliated cells": "#1C15BC",
    "enteroendocrine cells": "#F7DC6F",
    "mesothelial cells": "#7DCEA0",
    "neuron": "#111111",
    "tuft cells": "#9E018A",
    "cycling endothelial cells": "#BDFD0B",
    "stromal 1 (ADAMDEC1)": "#B22760",
    "lymphatic endothelium": "#2BF49F",
    "paneth cells": "#CB9348",
    "biliary cells": "#43A047",
    "mLTo cells": "#46ADAF",
    "BEST4+ epithelial": "#870F0F",
    "club cells": "#795548",
    "alveolar type 1 (AT1) cells": "#85C1E9",
    "stellate cells": "#EAD9D5",
    "thyrocytes": "#CDDC39",
    "pit cells": "#8D6E63",
    "ductal cells": "#6300B5",
    "pancreatic cells": "#012824",
    "neck cells": "#A347FB",
    "neuroendocrine cells": "#CE35E6",
    "cardiovascular cells": "#FE52CF",
    "alveolar type 2 (AT2) cells": "#F8E347",
    "chief cells": "#6C6F15",
    "hepatocytes": "#7788CD",
    "beta cells": "#0DC290",
    "acinar cells": "#3CAA0A",
    "kupffer cells": "#08F8EB",
    "stromal 3 (C7)": "#5DEB2E",
    "stromal 4 (MMP1)": "#D6A5FA",
    "arterial": "#AB1EBA",
    "capillary": "#054DDC",
    "mLN stromal": "#854F49",
    "portal endothelial": "#3A0E43",
    "central endothelial": "#37D160",
    "airway secretory cells": "#A8BADE",
    "epsilon cells": "#C76CDE",
    "alpha cells": "#D7FDFD",
    "delta cells": "#8BE46E",
    "luminal cells": "#E68FC6",
    "quiescent cells": "#6EA3FA",
    "fibroblast": "#3E35B7",
    "mature enterocytes": "#225805",
    "mature colonocytes": "#537F88",
    "myofibroblasts": "#F2D71E",
    "enterocyte precursors": "#12401F",
    "MUC2- goblet cells": "#5536D5",
    "immature pericytes": "#D2B993",
    "M/X cells": "#DED8CE",
    "RGS5 pericytes": "#CC4285",
    "younger goblet cells": "#C3EACA",
    "portal hepatocytes": "#E42859",
    "central hepatocytes": "#86564A",
    "enterochromaffin cells": "#55F97A",
    "colonocyte precursors": "#4AA08F",
    "D cells": "#9006E9",
    "N cells": "#1354E2",
    "L cells": "#4C51A5",
    "older goblet cells": "#D2BB71",
    "BEST2 goblet cells": "#D257D7",
    "K cells": "#D93329",
    "angiogenic pericytes": "#24BB35",
    "SMC 1 (PLPP2)": "#C9A580",
    "PRG4 pericytes": "#6E9979",
    "contractile pericytes": "#64652F",
    "I cells": "#946262",
    "Enterocyte": "#225805",
    "Enteroendocrine": "#F7DC6F",
    "Enterocyte_precursor": "#1F77B4",
    "Goblet": "#8E3101",
    "M_cell": "#F82745",
    "Stem_cell": "#777777",
    "Tuft": "#9E018A",
    "colon": "#465982",
    "duodenal": "#90D8AF",
    "ileum": "#F8871A",
    "IPS": "#4DBBD5",
    "tIPS": "#00A087",
    "FSC": "#8491B4",
    "FSC early": "#003C67",
    "FSC late": "#3C5488",
    "ASC": "#E64B35",
    "PSC": "#4DBBD5",
    "tPSC": "#00A087",
    "spleen": "#7AA6DC",
    "thymus": "#EFC000",
    "Small_Intestine": "#91D1C2",
    "Intestine": "#91D1C2",
    "Large_Intestine": "#37AB6C",
    "Liver": "#8F7700",
    "Lung": "#F39B7F",
    "Pancreas": "#DC0000",
    "Prostate": "#4A6990",
    "Salivary_Gland": "#3B3B3B",
    "Thymus": "#7E6148",
    "Trachea": "#F39B7F",
    "Esophagus": "#43A047",
    "esophagus": "#43A047",
    "Stomach": "#B09C85",
    "endothelial cell of hepatic sinusoid": "#15889C",
    "hepatocyte": "#7788CD",
    "intrahepatic cholangiocyte": "#A2C8EB",
    "acinar cell of salivary gland": "#CC7DA5",
    "pericyte cell": "#AE4DDD",
    "endothelial cell of lymphatic vessel": "#83D397",
    "adventitial cell": "#388CAF",
    "endothelial cell": "#C93476",
    "duct epithelial cell": "#2B7BC5",
    "basal cell": "#E68A54",
    "myoepithelial cell": "#A466A4",
    "pancreatic acinar cell": "#3CAA0A",
    "pancreatic stellate cell": "#9A384B",
    "pancreatic ductal cell": "#5469C9",
    "pancreatic beta cell": "#0DC290",
    "basal cell of prostate epithelium": "#6C8F44",
    "epithelial cell": "#73CFC0",
    "hillock-club cell of prostate epithelium": "#89DB96",
    "luminal cell of prostate epithelium": "#C02DDC",
    "smooth muscle cell": "#C732E5",
    "stromal cell": "#AA2E96",
    "salivary gland cell": "#486EF5",
    "ionocyte": "#A2E2AE",
    "enterocyte of epithelium of large intestine": "#61E190",
    "large intestine goblet cell": "#BAA8E4",
    "paneth cell of epithelium of large intestine": "#FF7300",
    "transit amplifying cell of large intestine": "#FD4C7A",
    "gut endothelial cell": "#B423DF",
    "intestinal crypt stem cell of large intestine": "#777777",
    "intestinal enteroendocrine cell": "#8F6DAD",
    "intestinal tuft cell": "#9D9B9B",
    "type ii pneumocyte": "#FFA900",
    "bronchial vessel endothelial cell": "#886573",
    "respiratory mucous cell": "#C05E3F",
    "club cell of prostate epithelium": "#3C5939",
    "hillock cell of prostate epithelium": "#844F4A",
    "enterocyte of epithelium of small intestine": "#225805",
    "transit amplifying cell of small intestine": "#F3D26D",
    "small intestine goblet cell": "#6C9952",
    "paneth cell of epithelium of small intestine": "#196493",
    "intestinal crypt stem cell of small intestine": "#614C61",
    "immature enterocyte": "#CF5A3E",
    "intestinal crypt stem cell": "#600ABB",
    "mature enterocyte": "#C21DF3",
    "goblet cell": "#8E3101",
    "endothelial cell of artery": "#D2F677",
    "lung ciliated cell": "#994841",
    "respiratory goblet cell": "#846437",
    "serous cell of epithelium of bronchus": "#686EB1",
    "capillary endothelial cell": "#0C8CA9",
    "capillary aerocyte": "#40A509",
    "type i pneumocyte": "#284415",
    "vein endothelial cell": "#5A6ECE",
    "alveolar fibroblast": "#66153A",
    "bronchial smooth muscle cell": "#FA6767",
    "club cell": "#795548",
    "lung microvascular endothelial cell": "#509343",
    "vascular associated smooth muscle cell": "#8C78A7",
    "myofibroblast cell": "#C76BDA",
    "mesothelial cell": "#7DCEA0",
    "pulmonary ionocyte": "#34A673",
    "pancreatic pp cell": "#BAEB13",
    "pancreatic alpha cell": "#D7FDFD",
    "pancreatic delta cell": "#8BE46E",
    "duodenum glandular cell": "#5AB8AF",
    "endothelial cell of vascular tree": "#BB55E0",
    "intestinal epithelial cell": "#6BC83A",
    "myeloid cell": "#B46268",
    "innate lymphoid cell": "#59D885",
    "glial cell": "#28CE60",
    "chromaffin cell": "#6CC3AF",
    "erythroblast": "#73CD31",
    "hepatoblast": "#BD54A1",
    "hepatic stellate cell": "#0FC08E",
    "hematopoietic stem cell": "#6E8E7F",
    "megakaryocyte": "#8A43E9",
    "epithelial cell of lower respiratory tract": "#4C6E9A",
    "ciliated epithelial cell": "#62DA91",
    "neuroendocrine cell": "#CE35E6",
    "squamous epithelial cell": "#D0C03C",
    "visceromotor neuron": "#D27258",
    "native cell": "#70D37E",
    "acinar cell": "#3CAA0A",
    "endocrine cell": "#67DCD5",
    "enteric neuron": "#B041E3",
    "brush cell": "#5B20C8",
    "Mesenchyme subtype 2": "#E4B974",
    "Mesenchyme subtype 3": "#D6A5FA",
    "Mesenchyme subtype 1": "#B22760",
    "Mesenchyme subtype 4": "#47EDD1",
    "Intestinal epithelium": "#ED496F",
    "Proliferative mesenchyme": "#A3E3AF",
    "Mesenchyme subtype 5": "#854F49",
    "Macrophage/monocyte 2": "#B09C85",
    "T cell/NK cell 2": "#EB1388",
    "Endothelial": "#CD534C",
    "Basal like": "#E68A54",
    "Distal lung epithelium": "#85C1E9",
    "Erythroblast": "#73CD31",
    "PNS neuron": "#868686",
    "PNS glia": "#AFB9D1",
    "Pericyte": "#573794",
    "Chondrocyte": "#08F8EB",
    "Gastrointestinal epithelium": "#0073C2",
    "Ciliated": "#1C15BC",
    "B cell": "#C251A1",
    "Macrophage/monocyte 1": "#7E6148",
    "MUC2+ goblet": "#8E3101",
    "T cell/NK cell 1": "#FE52CF",
    "Enteroendocrine": "#F7DC6F",
    "Undefined": "gray",
    "Hepatocyte": "#7788CD",
    "Mesothelial cell": "#7DCEA0"
}

